기관명,기관구분,주소,홈페이지
강원대학교병원,광역정신건강복지센터,강원도춘천시춘천로306-5,www.gwmh.or.kr
강원대학교병원,기초정신건강복지센터,강원도춘천시효제길35,www.chmhc.org
강원도삼척의료원,공립,강원도삼척시오십천로418,
강원도속초의료원,공립,강원도속초시영랑호반길3,
강원도영월의료원,종합병원,강원도영월군영월읍중앙1로59,
강원도원주의료원,공립,강원도원주시서원대로387(개운동),
강원도원주의료원,종합병원,강원도원주시서원대로387(개운동),
강원도속초의료원,종합병원,강원도속초시영랑호반길3(영랑동),
강원도자살예방센터,자살예방센터,강원도춘천시춘천로306-5유칭프라자3층,www.gwmh.or.kr
강원도청보건정책과,보건소,강원도춘천시중앙로1(봉의동)강원도청보건정책과,
강정신건강의학과의원,의원,대구광역시중구달구벌대로20948층(남산동),
강정신건강의학과의원,의원,부산광역시해운대구양운로82801호(좌동화인크리닉),
강정신건강의학과의원,의원,부산광역시부산진구동평로4226층(양정동),
강지윤정신건강의학과의원,의원,경기도수원시영통구봉영로1612419호호(영통동보보스프라자),
강진군정신건강복지센터,기초정신건강복지센터,전라남도강진군강진읍목리길11,
강진군보건소,보건소,전라남도강진군강진읍목리길11,
강혜영정신건강의학과의원,의원,경기도용인시기흥구동백중앙로265(중동더엠빌딩304호일부),
강화군보건소,보건소,인천광역시강화군강화읍충렬사로26-1,
강화정신요양원,정신요양시설,인천광역시강화군선원면고식이길20번길19-3,www.kanghwa.or.kr
같은마음정신건강의학과의원,의원,서울특별시강북구도봉로324글로리타워(번동),
개운정신건강의학과의원,의원,서울특별시서초구동작대로1145층(방배동유문빌딩),
개정정신건강의학과의원,의원,전라북도군산시번영로312(사정동),
거제시정신건강복지센터,기초정신건강복지센터,경상남도거제시수양로506,www.geoje.go.kr
거제시보건소,보건소,경상남도거제시수양로506,
거제정신건강의학과의원,의원,경상남도거제시고현로88202호(고현동),
거창군정신건강복지센터,기초정신건강복지센터,경상남도거창군거창읍거함대로3079,www.geochang.go.kr/health
거창군보건소,보건소,경상남도거창군거창읍거함대로3079,
건국대학교충주병원,기초정신건강복지센터,충청북도충주시국원대로782층,www.mhc.cj100.net
건국대학교충주병원,종합병원,충청북도충주시국원대로82(교현동),
건국대학교병원,상급종합병원,서울특별시광진구능동로120-1(화양동),https://www.kuh.ac.kr/main.do
건대하늘정신건강의학과의원,의원,서울특별시광진구아차산로213웅진빌딩4층(화양동),
건양대학교병원,기초정신건강복지센터,대전광역시서구만년로74서구보건소6층,www.emind.or.kr
검단탑병원,종합병원,인천광역시서구청마로19번길5-(당하동),
경기다사모,정신재활시설,경기도수원시팔달구매산로89,www.kgdasamo.com
경기도기초정신건강복지센터,기초정신건강복지센터,경기도광주시파발로194번지,www.gjcity.go.kr
경기도립정신병원,공립,경기도용인시기흥구중부대로940,
경기도의료원수원병원,종합병원,경기도수원시장안구수성로245번길69(정자동),
경기도의료원의정부병원,공립,경기도의정부시흥선로142,
경기도의료원의정부병원,기초정신건강복지센터,경기도의정부시범골로131의정부시보건소3층,www.umind.or.kr
경기도의료원의정부병원,중독관리통합지원센터,경기도의정부시의정로52번길18삼보빌딩3층,www.uamc.co.kr
경기도의료원의정부병원,종합병원,경기도의정부시흥선로142(의정부동),
경기도자살예방센터,자살예방센터,경기도수원시장안구수성로245번길69(정자동)경기도의료원2층,www.mindsave.org
경기도청건강증진과,보건소,경기도수원시팔달구효원로1(매산로3가),
경기정신과의원,의원,경기도수원시장안구팔달로211(영화동),
경남도청보건행정과,보건소,경상남도창원시의창구중앙대로300(사림동),
